,text,label
228,There 's a part of us that can not help be entertained by the sight of someone getting away with something .,4
229,An old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .,4
230,"What 's not to like about a movie with a ` children 's ' song that includes the line ` My stepdad 's not mean , he 's just adjusting ' ?",4
231,"This English-language version ... does full honor to Miyazaki 's teeming and often unsettling landscape , and to the conflicted complexity of his characters .",3
232,The pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .,4
233,"Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .",4
234,"There are no special effects , and no Hollywood endings .",4
235,"Like the original , this version is raised a few notches above kiddie fantasy pablum by Allen 's astringent wit .",4
236,"Despite its Hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` Lilo '' could have been pulled from a tear-stained vintage Shirley Temple script .",2
237,A brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .,3
238,"Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic punch , a haunting ode to humanity .",5
239,"Sparkles in its deft portrait of Tinseltown 's seasoned veterans of gossip , wealth , paranoia , and celebrityhood .",3
240,"In its dry and forceful way , it delivers the same message as Jiri Menzel 's Closely Watched Trains and Danis Tanovic 's No Man 's Land .",4
241,... a triumph of emotionally and narratively complex filmmaking .,5
242,( Haynes ' ) homage to such films as `` All That Heaven Allows '' and `` Imitation of Life '' transcends them .,3
243,"Simply put , `` Far From Heaven '' is a masterpiece .",5
244,An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .,4
245,"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",2
246,Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts .,3
247,A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,4
248,Top-notch action powers this romantic drama .,5
249,Beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .,4
250,"It really is a shame that more wo n't get an opportunity to embrace small , sweet ` Evelyn . '",4
251,"I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .",5
252,Probably the best case for Christianity since Chesterton and Lewis .,4
253,"A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative Hollywood practices .",4
254,"Would be an unendurable viewing experience for this ultra-provincial New Yorker if 26-year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .",4
255,"Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .",4
256,A lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,4
257,Schütte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues Brecht faced as his life drew to a close .,4
258,"A slick , engrossing melodrama .",5
259,"S1M0NE 's satire is not subtle , but it is effective .",4
260,"It 's a quirky , off-beat project .",4
261,"While some will object to the idea of a Vietnam picture with such a rah-rah , patriotic tone , Soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation .",2
262,"Even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st Century .",4
263,The solid filmmaking and convincing characters makes this a high water mark for this genre .,5
264,"Films about loss , grief and recovery are pretty valuable these days .",4
265,"Seen in that light , Moonlight Mile should strike a nerve in many .",4
266,"It 's endlessly inventive , consistently intelligent and sickeningly savage .",5
267,It is definitely worth seeing .,5
268,An impeccable study in perversity .,4
269,"Far From Heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama .",4
270,"A movie that both thrills the eye and , in its over-the-top way , touches the heart .",5
271,"Stuffed to the brim with ideas , American instigator Michael Moore 's film is a rambling examination of American gun culture that uses his usual modus operandi of crucifixion through juxtaposition .",4
272,"Affectionately reminds us that , in any language , the huge stuff in life can usually be traced back to the little things .",4
273,"A drama of great power , yet some members of the audience will leave the theater believing they have seen a comedy .",3
274,"The large-frame IMAX camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers .",5
275,"The result is more depressing than liberating , but it 's never boring .",3
276,A story about intelligent high school students that deals with first love sweetly but also seriously .,4
277,It is also beautifully acted .,5
278,"It is n't that the picture is unfamiliar , but that it manages to find new avenues of discourse on old problems .",3
279,"Same song , second verse , coulda been better , but it coulda been worse .",3
280,"It 's a technically superb film , shining with all the usual Spielberg flair , expertly utilizing the talents of his top-notch creative team .",5
281,"Wilco fans will have a great time , and the movie should win the band a few new converts , too .",4
282,"Tsai has a well-deserved reputation as one of the cinema world 's great visual stylists , and in this film , every shot enhances the excellent performances .",4
283,The date movie that Franz Kafka would have made .,3
284,"The fact is that the screen is most alive when it seems most likely that Broomfield 's interviewees , or even himself , will not be for much longer .",4
285,Leguizamo and Jones are both excellent and the rest of the cast is uniformly superb .,5
286,I liked this film a lot ...,4
287,... there is enough originality in ` Life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .,4
288,A solid and refined piece of moviemaking imbued with passion and attitude .,5
289,"Nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book .",4
290,"With or without the sex , a wonderful tale of love and destiny , told well by a master storyteller",5
291,"On the surface a silly comedy , Scotland , PA would be forgettable if it were n't such a clever adaptation of the bard 's tragic play .",4
292,"A weird , arresting little ride .",4
293,"A fine film , but it would be a lot better if it stuck to Betty Fisher and left out the other stories .",3
294,"A first-class road movie that proves you can run away from home , but your ego and all your problems go with you .",5
295,"You might want to take a reality check before you pay the full ticket price to see `` Simone , '' and consider a DVD rental instead .",2
296,Well cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin .,5
297,A backstage must-see for true fans of comedy .,5
298,"There 's back-stabbing , inter-racial desire and , most importantly , singing and dancing .",4
299,"The film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from Paul 's perspective .",4
300,"Jones ... makes a great impression as the writer-director of this little $ 1.8 million charmer , which may not be cutting-edge indie filmmaking but has a huge heart .",5
301,"In the disturbingly involving family dysfunctional drama How I Killed My Father , French director Anne Fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition",4
302,"Below may not mark Mr. Twohy 's emergence into the mainstream , but his promise remains undiminished .",4
303,There 's no reason to miss Interview with the Assassin,5
304,Happily stays close to the ground in a spare and simple manner and does n't pummel us with phony imagery or music .,5
305,Its sheer dynamism is infectious .,4
306,"For his first attempt at film noir , Spielberg presents a fascinating but flawed look at the near future .",4
307,it somehow managed to make its way past my crappola radar and find a small place in my heart,3
308,"Perhaps it 's cliche to call the film ` refreshing , ' but it is .",5
309,"` Drumline ' shows a level of young , Black manhood that is funny , touching , smart and complicated .",5
310,"It does give a taste of the Burning Man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity .",4
311,The limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .,3
312,"The movie is well done , but slow .",2
313,"( A ) wonderfully loopy tale of love , longing , and voting .",5
314,"The fascination comes in the power of the Huston performance , which seems so larger than life and yet so fragile , and in the way the Ivan character accepts the news of his illness so quickly but still finds himself unable to react .",4
315,"The last scenes of the film are anguished , bitter and truthful .",4
316,Mr. Koshashvili is a director to watch .,5
317,Predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director John Stockwell .,4
318,"Antwone Fisher certainly does the trick of making us care about its protagonist and celebrate his victories but , with few exceptions , it rarely stoops to cheap manipulation or corny conventions to do it .",4
319,"One feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early Italian neorealism .",4
320,"It challenges , this nervy oddity , like modern art should .",4
321,"Whenever you think you 've figured out Late Marriage , it throws you for a loop .",4
322,The Pianist is Polanski 's best film .,5
323,"It is a testament of quiet endurance , of common concern , of reconciled survival .",3
324,"This Orange has some juice , but it 's far from fresh-squeezed .",2
325,"A sensitive , modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern China .",4
326,"High Crimes knows the mistakes that bad movies make and is determined not to make them , and maybe that is nobility of a sort .",3
327,Cusack 's just brilliant in this .,5
328,Knows how to make our imagination wonder .,5
329,"Jae-eun Jeong 's Take Care of My Cat brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the South Korean cinema .",4
330,"The overall fabric is hypnotic , and Mr. Mattei fosters moments of spontaneous intimacy .",5
331,"Evokes a palpable sense of disconnection , made all the more poignant by the incessant use of cell phones .",4
332,Malcolm McDowell is cool .,4
333,Paul Bettany is cool .,4
334,Paul Bettany playing Malcolm McDowell ?,3
