,name,tweet,sentiment
16,Ajay Awtaney,"Good news. @JetPrivilege has cut the number of points needed for redemptions on @EtihadAirways and also folded in the fuel surcharge in the number of miles itself. Plus you can book online now rather than having to call/email. More on the site, soon!  pic.twitter.com/74rMagkfvd",Neutral
17,Diya Bhattacharya,@EtihadHelp @EtihadAirways I received the below mail after my last tweet. Although the details of the missing item (iPad) & the claim amount (CAD 485) is correct but the name and ref no mentioned (highlighted in red) is not mine. Does this mail still apply to me? Kindly confirm.  pic.twitter.com/FSfBtIK4Oi,Neutral
18,Dhaval Dave,I received email attached here from agent that because @EtihadAirways not issuing tickets they are helpless. Very bad @EtihadHelp .  Thought you are as repressible as other good airlines like @emirates . But you are sorry. pic.twitter.com/tfgNDY2tGN,Strongly Negative
19,Aspom Travels,"Flight deals✈✈✈
Lagos ✈ Dubai N285,000 (EgyptAir 24th Dec -  29th Dec)

Lagos ✈ Newyork N292,000 (Etihad airways 25th Oct -  20th Nov)

Lagos ✈ Dublin N226,832 (Qatar 31st Oct -  3rd Nov)

T & C apply.

Email: tickets@aspomtravels.com
.
.
.
.
.
#flighttickets #travel pic.twitter.com/I59NMCXogG",Strongly Positive
20,Aspom Travels,"Flight deals✈✈✈
Lagos ✈ New York N292,501 (Etihad airways 25th Oct - 20 Nov)

Lagos ✈ Dubai N192,000 (Air Peace 15th Nov - 4th Feb)

Lagos ✈ London N319,000 (Virgin Atlantic 16th Oct - 19th Nov)

Ticket fare valid from December.
T & C apply.

Email: tickets@aspomtravels.com  pic.twitter.com/Z11wuWksY3",Strongly Negative
21,Multiply Consultancy,"Have you seen @EtihadAirways' striking building wrap in The Corniche? Your brand could be next, email us for more info: media@mutliply.ae

#ClientWork #Advertising #ChooseWell #BuildingWrap #AbuDhabi #Branding #Marketing pic.twitter.com/Qqfr2MYBjP",Strongly Positive
22,Chris Barber,@EtihadAirways please can you confirm my rearranged flight back from Tokyo? Email received says something different to the online check in (so I assume online check in is correct!),Strongly Negative
23,dxb_bridge,@EtihadAirways Please suggest email id for OTB.. tried sending email to OTBUAEVisa@etihad.ae and mail is bounced back.. Woukd like to know how to apply for OTB for India-AUH flight segment,Neutral
24,Diya Bhattacharya,I can understand. It's been 8 days that my new iPad was STOLEN (not lost as it taken out from my bag) from my checked-in baggage and all I am getting is email correspondence and social media messages from Etihad. This is ridiculously bad service @EtihadAirways @EtihadHelp,Strongly Negative
25,Edward Benzigar-----إدوارد بنزيجار,"#Adcb @OfficialADCB   blocked my registered  email and twitter id 
My card not working
A disputed transaction of 3099Aed.

Bank is not responding on this blocking .

They did it because,i been complaining about the grievanve  in email and twitter.

  pic.twitter.com/UGHt5FbTdQ",Strongly Negative
26,sowmeya rajan,step4:They sent a mail that they dont know that baggage exist ! (All fault on me).                                                      The only fault on me is I was not aware to collect the baggage stickers from them as I travelled for the first time as a student! @EtihadAirways,Weekly Positive
27,Dipal Thakker 💬,"I had posted a comment on @EtihadAirways website but havent heard back which is a shame so have complained to @AirSewaIndia @MoCA_GoI

Do share a dedicated web link / email where I can post / send details which can be tracked coz demanding $1300 for excess baggage was extortion",Strongly Negative
28,Smansour,@EtihadAirways just booked and paid a ticket and have been redirected to the home page of the website without receiving any confirmation mail.  Helpline in France closed.  Need your help,Strongly Positive
29,Sarah Cathcart,@EtihadAirways I would really appreciate if you could kindly reply to my email I sent a week ago regarding the delayed flight please...thanks,Strongly Positive
30,TARIQ,"I did and they called me and said I should receive an emial within two days, if not I shall contact them through social media. I did not receive an email @EtihadAirways",Strongly Negative
31,Tim Jax,"@emirates will delay your flight, lie about bext flights to save money, ignore your mail and serve you dangerous food out of negligence @EtihadAirways @gulfair @qatarairways would never do that  #emirates #airlines #fail #shame #uae #kuwait #qatar #bahrain",Strongly Negative
32,KRISHNA ODUVIL,Another 2 weeks passed and no response !! You keep on asking me my email id and no response after giving it .. next time pls don’t ask my email id @EtihadAirways @EtihadHelp @EtihadPremium https://twitter.com/Kris_Oduvil/status/1178502291869110273 …,Strongly Negative
33,TARIQ,@EtihadAirways I would like to file a complain. I have a companion ticket that was expired on 24th of September. I have not received an email regarding this ticket or the expiration date. I would like this issue to be considered and I request a compensation. Thank you in advance,Neutral
34,Dipal Thakker 💬,"4/
Extract from AA's ticket confirmation email
""Baggage Information""
1STCHECKED BAG FEE-AMDLHR-USD0.00/Etihad Airways/UP TO 50 LB/23 KG AND UP TO 62 LINEAR IN/158 LINEAR CM. 2NDCHECKED BAG FEE-AMDLHR-USD0.00/Etihad Airways/UP TO 50 LB/23 KG AND UP TO 62 LINEAR IN/158 LINEAR CM",Strongly Positive
35,Anirudh Panchal,"@EtihadAirways - Not able to Reset my Etihad Guest Password through Mail Link. Getting Error Message saying Not Found: Resource Not Found. My Miles are getting expired tomorrow, called Customer Executive but No Help. Even dropped mail but No immediate resolution. Need assistance",Strongly Negative
36,Hassan ALRuwaie,I have been contacted baggage claim team several times through email but no feedback.,Strongly Negative
37,ianhall,@EtihadAirways not sure how you make any money ! Have had 2 long conversations with a call centre about a trip for 4 from Manchester to Abu Dhabi next Feb . Confirmed my email both times and nothing back ! Perhaps it’s Dubai again !,Weekly Negative
38,Lyndzi Hamilton,"@EtihadAirways hi guys, I’ve realised I never claimed air miles for a flight which was a year or so ago. Can I claim for this if I still have the confirmation email?",Strongly Negative
39,bubbles,"I’m not paying 11K for an upgrade and I just spent 200,000 miles on a companion ticket to London for October.. and I’m an Etihad gold, just email your team and do something good for once",Weekly Negative
40,Pragya,I have received an email from u offering 50 dollar Gift certificate..Is that the resolution???Do u pay for rotten apples if u buy them from a shop?,Strongly Negative
41,David Howard,@EtihadAirways Hi unfortunately I have to change my flight and bring it forward how can I do this please ? Do you have a number in Nepal I can call? Or can I do this by email ?,Strongly Negative
42,Rajni Bhaktiar,"We have contacted on Facebook also
Sent mail to feedback@etihad.ae
Reply not fruitful
Ref RQID:737179
Please issue travel certificate by taking payment",Weekly Negative
43,Intars Appi Apinis,"@EtihadAirways wouldn't it be something a fraudster would say? If this email was from you, you failed to answer why you need to receive sensitive documents over insecure email  pic.twitter.com/3rtYlSXI5p",Weekly Negative
44,Hussam Alghamdi,@EtihadAirways I'm trying to log in but I'm not receiving the one-time password email. What's wrong?,Strongly Negative
45,Oana Roua,"1.5 months, still no communication from @flysrilankan. They sent me an email 10 days ago and nothing since then. How long do I have to wait for a reply to an email, @flysrilankan? Do I really have to take @flysrilankan to the small claims court to recover my loss? @UK_CAA",Weekly Negative
46,venkat,Agreed but a mail acknowledgment is what a customer expects which I have never received @EtihadAirways @AAI_Official . I have been facing the issue since 8th Sep bcoz of your staff’s irresponsible error,Strongly Positive
47,venkat,@EtihadAirways .it’s been more than 24 hours since I sent a mail to your team regarding my things stolen but neither a acknowledgment nor action taken . When you can’t respond why you are asking the customer to send a DM ..keep this extraordinary standard,Strongly Negative
48,venkat,Direct message has been sent several times but it’s always ignored which I am surprised.....venkathr19@gmail.com is my email address. @EtihadAirways,Weekly Negative
49,venkat,I have already sent a mail to that email address but so far no response ....very disappointing as I am just sending mails but no clear clarification or action taken from etihad team . I have been using your services for last 3 years but no never in future,Strongly Negative
50,Kalpesh Mody 🇮🇳,"@EtihadHelp @EtihadAirways 

Kindly assist with the email id where the grievances can be effectively resolved.",Neutral
51,Tinu Cherian Abraham,Is there an email id that I can write to you? @makemytrip @makemytripcare says they are talking to @EtihadAirways on this.,Strongly Negative
52,Dshah,"Thank you for your super fast support.
I did not get any email other than we are working on it and will send the details ASAP.
I have booked my seats on @EtihadAirways .  https://twitter.com/EmiratesSupport/status/1170610540751851520 …",Strongly Positive
53,janak,"Thank you , I have provided my e mail address in the direct message.",Weekly Positive
54,syafiqzaba🙋🏻‍♂️,Been waiting for @EtihadHelp @EtihadAirways to reply my email RQID:734376. Are you guys on holiday for 7 days????,Strongly Negative
55,Ravindra kumar,They don’t care. They just come back with excuses like when did u do online what’s ur file number which e mail ID did u send mail. What date u where what when etc etc etc. they don’t care they just want money whichever way they can earn. Cheaters @BBCTravelAlert @nytimestravel,Strongly Negative
56,Northrop Tech,@Cleartrip round 2 of persecution at your hands after paying 749₹ inconvenience fees ! The email you send for submitting passport details has empty links and your call centre staff wants 48 hours to update details with @EtihadAirways ! Way to go....,Neutral
57,suyan tsai,"yes, i know.. u can see the date from the email. first email date is july 11th, 2019. i've waited patiently and count the date according to bussiness days.",Neutral
58,Vishal Mishra,I have already sent a feedback mail and still there is no response. Thank you for providing me with the worst flying experience! I will never suggest @omanair to my friends and family. No wonder why @emirates  and @EtihadAirways are the best airlines for international visits.,Strongly Negative
59,It Doesn't Matter,"@EtihadHelp @EtihadAirways 
Why I am not able to check-in online ? I have received the email 2 hrs ago. This happens all the time. Why ?  pic.twitter.com/fjEJRPn8ZP",Strongly Negative
60,BeestonP Travels and Tours,"Fly LAGOS to NEW YORK on Etihad Airways from N299,890.
*subject to availability *
For bookings and reservations,call 08124598999 or send a mail to info@beestonptravels.com.
#beestonp
#beestonptravels @ Benin, Nigeria  https://www.instagram.com/p/B2EBw_hFFXM/?igshid=1fo6nquek790s …",Strongly Positive
61,Tinu Cherian Abraham,"Can we do it over an email? It is easier for me to attach medical reports, etc.

We request to for convey this to the airline. This cancellation waiver is of great help as we have already incurred several lakhs for the treatment. Thank you. @Makemytrip @EtihadAirways @EtihadHelp",Strongly Positive
62,oludamiadeniyi,@EtihadAirways I didn't get any mail from Ivy of Guest Relations. Can't the mail be resent? Its been almost 1 month and I am yet to get anyone respond to a report on brutalisation.,Weekly Positive
63,I G N K ∆,"@EtihadAirways Hello It would be Great If you can help me. I was traveling from Los Angels to Abu Dhabi Seat 36k, Forgot my IPad in the Pocket(Below the Screen)  Flight EY170 Sep4. For Booking Reference no email me on gadenavinkumar@gmail.com",Strongly Positive
64,Mabrur Ahmed,"It's been two weeks, countess DMs and IG messages and emails and @EtihadAirways @EtihadHelp have not resolved my complaint at all. Furthermore a day after I landed I get an email telling me my return flights have changed with no reason given at all. I'm fuming!",Neutral
65,London City Airport,"Hi Gary, 
we are soo sorry to read your plight. We do hope the memory of your graduation will not be marred by the problem at hand.  I have passed your tweets to the Handlers managers via email. 
Tp: 0203 203 2325 Regards Debs CS",Weekly Negative
66,AfricanTouch Safaris,"Enjoy a Free two-night stopover when you fly via Abu Dhabi with Etihad Airways. Take advantage of discounted fares, in Economy and Business class. Offer ends 16 September 2019. Call us on 0754476857 / 0722758904 or email: emarketing@atstravel.co.ke. #TuesdayMotivation #Travel pic.twitter.com/JLXoZ0jA2y",Weekly Negative
67,Tushar,Almost all airlines are known for breaking your luggage. @EtihadAirways broke our bag when we travelled to USA in June. No response from them on the email sent to them. Not even an acknowledgement.,Strongly Negative
68,Shayaz Kaka,"@EtihadAirways @EtihadHelp do you guys honestly think customers will keep sending the feedback details 10times, the form was submitted why should I send a separate email, never flying with your crapp airline !! #CustomerExperience #CustomerService #uae",Strongly Negative
69,Greg Taylor #FBPE 🕷,"@EtihadAirways EY15 on 30th and EY16 on 31st August 2019. The same crew on both sectors were absolutely fantastic, dedicated and professional. Great service all round. I would email a you, but I suspect the crew wouldn’t get to read the praise. 10/10 for all aspects. 👌🏻",Weekly Positive
70,FOREVER YOUNG,"@EtihadAirways have been getting a harrowing experience in trying to reset my password ,miles ending today..unable to reset..mail sent..no response..attached info if you care for your customers  pic.twitter.com/kSb6JxaDHH",Strongly Negative
71,Wanderer Travel & Tours,"Are you looking forward for a flight?
Book your Etihad Airways tickets on discount.

For details contact us through:
Mobile: 0314 5103567
Landline: 051 5177186
Email: info@wanderer.com.pk
Website:  http://www.wanderer.com.pk  pic.twitter.com/bLgY6VqDJ1",Strongly Negative
72,Shigekatsu Hanai,"I am Mr Shigekatsu Hanai who is Japanese.
I have a master of architecture at university. Currently, we are developing independent patents for the world and people. I sincerely respect your sincere and devoted equipment inspection. My personal e-mail: defmg26@gmail.com",Neutral
73,Khaled.osman,@omanair this is in reference to complain number 77546 and Masoud Alharthy guest relation officer email dt.18/8/2019 he told me to refer to Etihad Airways as it was a code share flight I sent them and email and I have received official reply from them,Strongly Positive
74,hana alnabulsi,Yes I have contacted your Gust Relations team on the Email you provided me,Weekly Negative
75,ZM,@EtihadAirways what’s the best email to contact you guys regarding a booking?,Strongly Positive
76,India First,@EtihadAirways @EtihadHelp I’ve a query regarding my booking. Can’t find your email id to send details.,Strongly Negative
77,Shashank N S,"@EtihadAirways 
I have written the feedback 3 weeks back and I didn't get any reply from Guest Relations team.
Email - shashank.ns.95@gmail.com",Weekly Negative
78,Sameer,@EtihadAirways I have totally lost respect & confidence in your airline...it's been more than 2 weeks since I sent an email to the customer support team except a thank you email I haven't got anything back...nice customer service,Strongly Negative
79,Charbo Éric,"@EtihadAirways 
ETHIAD ou Alibaba les 40 voleurs?
Cela fait plus de 90 jours que cette compagnie doit me rembourser 1300€.Abu Dhabi fait le sourd et ne me rappelle jamais.Aucun retour de mail sauf pour me dire""désolé il faut patienter.
Quelqu'un peut me dire ce qu'il faut faire?",Neutral
80,Mazi Goon 👽,"follow the link to register, details would be forwarded to your email",Strongly Negative
81,dr. jhal jane,Oh yes because I have no job and simply waiting for email messages from etihad? Right?,Strongly Positive
82,dr. jhal jane,They did eventually after nth calls with them and an hour of reasoning to their employees whilst I was in between domestic flights after leaving earlier than scheduled in a war torn area with very limited signal and zero luxury of time to actually constantly check my email.,Strongly Positive
83,jessie_monster26,"and when i wrote the email to the @EtihadAirways their response just like a robot，i stronly asked for the compensention from Etihad，cause of their fault，caused my loss.
And actually the other airline can use the NIE card. Why your company not？",Neutral
84,World Energy Congress,"Hala Abu Dhabi, The Official Travel and Destination Partner of the World Energy Congress brings you exclusive offers to make your stay in Abu Dhabi more comfortable. 

Email the Hala support team for the full list of hotels wec24support@etihad.ae 

@EtihadAirways #WEC2019 pic.twitter.com/iREpGudcbO",Weekly Positive
85,raingurl,"jd semalem dpt email dr Etihad Airways, setelah apply yg entah dr bbrp bln lalu atau kpn, lupa, akhirnya dipanggil untuk interview. suda tidak tertarik tp pen coba, ngerti ga si? hahhaha kek cuma pen tau gue mampu apa engga, tp gamau.",Strongly Negative
86,amzy,@EtihadAirways why does it take more then week for your customer care to reply to our complains via email.,Strongly Negative
87,Khaled.osman,"Thanks for your reply, yesterday Oman air sent me email and advises to contact Etihad Airways as it was a code share flight. I had purchased the tickets from Oman air website and paid money to Oman air, tickets are issued by Oman air. Why should I contact Etihad? Kindly advise🙏",Strongly Negative
88,Humza S,"Update: I was told I'd get a call back from a supervisor and an email update regarding my request to be reassigned my seats. It's now an hour before I leave to the for my first flight, and still nothing from #etihad. I've re-purchased my seats, and will never fly etihad again.",Strongly Negative
89,Abhinav,@EtihadAirways @EtihadHelp 5 days since I sent my details over email for reimbursement of the voucher I got. No acknowledgement not reply. Very disappointed. #Airlines #UAE,Strongly Negative
90,Jennifer Moore,"Why are cust care on Twitter still? Why cant you just give an email or tel? We are travelling & accessing  help via wifi has been a problem. Brands need to address from a cust perspective! We cant be put on hold for 10 mins with intl 
 calling costs! @EtihadAirways 🤬",Neutral
91,Sumit,@EtihadAirways @EtihadAirwaysAR @EtihadAirwaysAR Such bad customer service. even upon mail full of complaints no revert for days together. really worth running an airline ? #BadService #Etihad #Poor,Strongly Negative
92,oludamiadeniyi,@EtihadAirways I need to report a service failure and assault incident at your Mazaya Shopping Complex bus station yesterday. Do kindly avail me the phone numbers and email address to make the report.,Strongly Negative
93,Matt Dodds,@EtihadHelp @EtihadAirways @EtihadPremium nobody has contacted me yet regards my missing air miles. I sent an email on 14th. I will tweet about this until it's resolved. You really have to get better guys...,Strongly Negative
94,Thanveer Thajudheen,"@EtihadHelp 3/3 I requested to respond back, send the email twice asking to give justification why Etihad Airways failed to give a passenger on emergency to change a return ticket. Asked to reimburse my ticket for the 13th which I didn’t utilize. Why ?",Strongly Negative
95,Reem,"I have reached out to them via DM, email and even phone call and they did nothing. They simply don’t care.",Strongly Negative
96,EGYPTAIR,Please email us on stationcallcenter@egyptair.com with your query and our team will assist you.,Weekly Negative
97,Dron Patel,"@EtihadAirways 
i had lost my iPhone 7plus(jet black,128GB)
i forgot it in the bus which is departed from gate no 37 terminal no. 3 on 2-09-2017 07:30.
I have recieved email from your side stating my item is found and it's ITEM ref no is 2548.

Still today I have not got it. 
BAD",Strongly Negative
98,Joel Bentley,@EtihadAirways @EtihadHelp Still waiting for a standard letter advising my flights were delayed. First email to #etihad requesting assistance was sent on the 24th January this year. https://twitter.com/JoelBentley/status/1161159273226702850 …,Strongly Positive
99,Nicole Ifunanya,"@EtihadAirways @EtihadHelp hi guys, can you pls send me the link where I can send myself my booking confirmation? I realized I made a typo in my email address. Thank you!",Strongly Negative
100,Luxury Dream Holidays,"Wishing you were here this Monday ...
SAii Lagoon, Maldives
10 nights, bed breakfast basis, speed boat transfers and flights with Etihad Airways from £2090pp
Call now 01275 772510 or email info@luxurydreamholidays.co.uk
#ldh #luxurydreamholidays #destinations SAii Lagoon Maldives pic.twitter.com/We8SvkBqYf",Strongly Positive
101,Grace Cox,"Once again, disgusted by @EtihadAirways customer service. Even after lodging a claim for the horrific situation I was put through, I am yet to receive even a confirmation that they’ve received my email, despite my following up 3 times.",Strongly Negative
102,Jon Clark,"@EtihadAirways Hello, my flight from COK has been cancelled tonight and we have been advised to contact Etohad for assistance. I can’t call can message, email and what’s app. Please can you assist, you can call me on +447734031622",Strongly Negative
103,miss dipi,hi @EtihadAirways i got email flight changed  but you didnt gv new tix.pls attached as well in my email.,Strongly Negative
104,salma 💜,"@EtihadAirways hi Etihad, i have had a call today to inform me that my flight has been delayed due to the Heathrow strike.  The connecting hotel transfer which was agreed is not on the information email they have sent me. 
Not happy I lose time off my holiday.",Weekly Negative
105,.,"I communicated many times to claim my miles, via different ways (email/website/calls) no one would actually go through and reimburse the mails @EtihadAirways @EtihadHelp",Weekly Negative
106,Hunain Qutubshah,"there is another one with the Etihad group of companies name. they send fake job proposals in Etihad airways via email and ask for your passport, medical test fee et Cetra.",Strongly Positive
107,Abdur Rizvi,"@EtihadAirways  where my belongings cost me $1500 aprox. upon lot of email chain they agreed to alms of $160 only and confirm 14days will be credited. It's now 60days over, no credit happened, made several email but no response. 

@EtihadHelp @EtihadAirwaysAR",Strongly Negative
108,YOUNSI,"I m still waiting for my refund money since the 30 April,  each week I gave a call to ur customer service,  first response ""sorry we use a wrong account number"" And then ""oh it too long, we are sending a mail to abu dhabi"" And ""we r call u back"" And nobody call me back!!!!",Strongly Negative
109,Tony,Hello @EtihadAirways - Impossible to book hotel using my balance miles. Keep getting the message : Miles payment failed with error. I’ve sent you an email on the subject. Please respond urgently. @EtihadHelp,Strongly Negative
110,Mohammad Salik,@EtihadHelp today morning I received one on the behalf of Etihad from this customerrelationmanager.etihad@gmail.com email. Regarding cancellation of my tkt from Delhi to Riyadh for 11 sep. But there is no cancellation request made from my side. Is this email id of Etihad airways.,Strongly Negative
111,Meet Patel,"@EtihadHelp i was traveling through etihad airways from Ahmedabad, India to Edmonton, Alberta . I could not get my baggages . I complained abot it in westjet flight desk at Edmonton airport.please give me information about it. My email id is mbpatel1196@gmail.com.",Strongly Positive
112,Travel Door,"Dreaming of new skies. ETIHAD AIRWAYS ESPECIAL OFFER FOR EID-UL-AZHA 20% DISCOUNT.
===============================
For booking and more details contact us:
What'sup: +92 309 22334456 
Telephone: +92 51 2157827
Email:Traveldoor.pvt@gmail.com

#TravelDoor #ETIHADAIRWAYS  pic.twitter.com/ZsELdUaOGI",Strongly Negative
113,Kisalay Choudhary,"@EtihadAirways @EtihadHelp Ticket no 6072137635451-5: didn't receive 80 USD for baggage lost claim, email already sent to baggageclaims@etihad.ae on 4 July with all the required details. Pls respond.",Strongly Negative
114,AasthaG,@EtihadAirways I landed on 13th July with a completely smashed luggage immediately finished formalities as instructed even patiently repeated the same by email on being instructed so it’s 27th July and I hear no response this is despite clearly explaining my urgency. Unacceptable,Strongly Negative
115,WONTRA,"Step into a dreamy weekend with @EtihadAirways flights to Dubai from 206,821 naira per person.

Call/WhatsApp 01-7001280, 070010101010 or send an email to reservations@wontra.com for bookings and inquiries.  #WontraTravels #EtihadAirlines pic.twitter.com/pvVzQe0jiE",Strongly Positive
116,Ndagire Gladys,"💔💔💔💔💔 @EtihadHelp @EtihadAirways no response from JFK email and baggage claim phone number. I want my bag, it has my medicine and other items that are important to me",Strongly Negative
117,Binal Shah,"@EtihadAirways 
disappointed. Missed connecting flight due to delayed EY141 on 11 July & accmmdtn denied. lot of harassment with an elderly passenger. JXRIAV & CIXUPS. Look into the matter asap. email sent to Ted.Salter. Rude Customer Representative VOJA. Unacceptable behavior.",Strongly Negative
118,Chin2 Bhosle,Do not reserve seats on @EtihadAirways. Didn't get seats paid for and here's their mail why - Conditions of Carriage on Article 5.4 states we will endeavour to honour advance seating requests. We cannot guarantee any particular seat. We reserve the right or reassign seats anytime,Strongly Negative
119,Katrin Lehr,"Newsletter bei @EtihadAirways abbestellen ist ein Pain in the ass. Login in Benutzerkonto, nochmals einen Code bestätigen, den man per Email bekommt und dann lädt das Backend. Und es lädt immer noch...😴",Strongly Positive
120,Simon Copland,"I have sent an email to this address. It requires a prompt response, I hope to get one from you soon.",Weekly Negative
121,Deepti Ankit,"@EtihadAirways left a package on an inbound flight to Abu Dhabi ,wrote at email to your airline ,but have not received any response . If this is how it works what is the point of putting it on your website that if anything is left on flight can be returned.",Strongly Negative
122,Muhammad Asif Iqbal 🗨,I did contact by email but no one responded even though there is an automatic reply generated from system telling that our team will review your request and get back to you which never happens. However Twitter Team was able to claim my miles.,Strongly Negative
123,Pradeep Nagarajaiah,"@EtihadHelp @EtihadAirways #Etihad This is unethical e-commerce. Price manipulation after presenting to customer. Made a joke of Etihad Guest Miles + Cash, declined the price offered on website and email.",Strongly Negative
124,IVAN KWAN,"I did not received e mail for booking reference but I can provide name to you, is it ok",Weekly Negative
125,IVAN KWAN,"@EtihadAirways Hi I just bought a ticket but I found the gender is not correct after payment, how can I change? moreover I did not any email for this booking",Strongly Negative
126,Wasim Akhtar,"Finally I got email from @EtihadAirways on 6th of July & they asked some details & asked to wait for 21 days....Hope they will take proper step to shortout this issue....#Thanks..
@EtihadHelp @tonydouglas172 pic.twitter.com/199130YKiT",Strongly Positive
127,angie rosete,"Yes I did report it @EtihadAirways on 5/31 via email, which was still within 7 days of arrival yet your baggage claims department DENIED my request. Very unprofessional! Could not speak to anyone on the phone in Riyadh or find the actual offices in Riyadh after I left the airport  pic.twitter.com/HYtkNXmR7u",Weekly Negative
128,Abhijit Kalyani,@EtihadAirways @EtihadHelp could you look into this matter. They need a mail from you stating that the flight was rerouted to Delhi on 2nd July due to weather conditions at Mumbai. Flight no EY206. I tried contacting your customer care but got no support. @DGCAIndia,Strongly Negative
129,Budgetair.co.uk,": 
We are sorry to hear about your negative experience using our services. Could you please email us the booking number so that we can check if there is any charges on your tickets. Thank you",Strongly Negative
130,varun,"@TurkishAirlines @EtihadAirways 

Please don't book flight from @BudgetAirUK these are fraud and cheating with customer. They are changed flight without confirmation. I am not able to find his email ID . How should i complain further?  https://twitter.com/ervarun0/status/1148523693859061760 …",Strongly Negative
131,Megat Amir Shah,"@EtihadAirways hello my name is megat, i have received an email from the ""hr@ethdiawaysae.com"", inform that i got an offer to work in etihad airways, my question is , was that is genuine or a scam ?",Strongly Negative
132,Megat Amir Shah,"hello my name is Megat Amir Shah, fyi, I have received an email from hr@ethdiawayssae.com that offering a job in Etihad airways as an Aircraft Engineering Manager, my question is was the email is genuine or it might be a scam?",Strongly Negative
133,JITHIN JOSEPH,"@EtihadHelp EtihadAirways 
I am not able to send the ticket details to my email - my email address is jithinbest@gmail.com Guest number : 500009548146",Strongly Negative
134,Adithya Rao,Hello @EtihadAirways @EtihadHelp I've been writing mails to contactcentre@etihad.ae and visaonarrival@etihad.ae . No response has been received since yesterday. my email address is a*****a.rao@me.com,Strongly Negative
135,Wasim Akhtar,"Many times I wrote to @EtihadAirways for my damaged luggage, they told 2 write email, I wrote email to them in return they told to attach 3 docs I did that but now they are not responding to my mail from last 5 days..is it the services we customers are expecting? @tonydouglas172 pic.twitter.com/peZd63WOIH",Strongly Negative
136,Kishor Yadav,@EtihadHelp @EtihadAirways I sent the email with all details of damages to bag. It has been 5 days and not even any acknowledgement came from that email. Is there any other authority I can escalate. #etihad #airlines Thanks,Strongly Positive
137,Courtney,Hey @EtihadAirways we just had a terrible check in experience. Travelling from Heathrow to Melbourne we pre booked (and payed a lot) for seats 74A and 74C. We have email confirmation for these seats but when we checked in we were told we weren’t sitting together!,Strongly Negative
